Fan,Fan(Units),Refrigerator,Fridge(Units),AirConditioner,AC(Units),Bulb,Blub(Units),Television,TV(Units),Monitor,Monitor(Units),MotorPump,Motor(Units),Month,Units,Extra,TariffRate,ElectricityBill
19,1.425,22,2.2,2,3,7,0.07,3,0.3,1,0.05,0.06,0.045,5,7.185,8.37,8.8,71.598
23,1.725,22,2.2,3,4.5,6,0.06,20,2,12,0.6,0.06,0.045,5,11.56,17.12,8.8,118.848
5,0.375,23,2.3,3,4.5,6,0.06,15,1.5,1,0.05,0.02,0.015,5,9.13,12.26,8.8,92.604
19,1.425,22,2.2,1,1.5,8,0.08,3,0.3,1,0.05,0.19,0.1425,5,5.7975,5.595,8.8,56.613
13,0.975,23,2.3,1,1.5,10,0.1,8,0.8,12,0.6,0.13,0.0975,5,6.5825,7.165,8.8,65.091
5,0.375,21,2.1,3,4.5,9,0.09,6,0.6,1,0.05,0.19,0.1425,5,8.0225,10.045,8.8,80.643
23,1.725,22,2.2,3,4.5,7,0.07,20,2,1,0.05,0.23,0.1725,5,11.1525,16.305,8.8,114.447
18,1.35,22,2.2,2,3,7,0.07,8,0.8,1,0.05,0.16,0.12,5,7.785,9.57,8.8,78.078
14,1.05,22,2.2,3,4.5,6,0.06,20,2,1,0.05,0.12,0.09,5,10.38,14.76,8.8,106.104
18,1.35,23,2.3,2,3,8,0.08,10,1,1,0.05,0.14,0.105,5,8.125,10.25,8.8,81.75
9,0.675,17,1.7,0,0,7,0.07,11,1.1,7,0.35,0.09,0.0675,5,4.2175,2.435,8.8,39.549
5,0.375,22,2.2,3,4.5,10,0.1,9,0.9,1,0.05,0.23,0.1725,5,8.5275,11.055,8.8,86.097
23,1.725,23,2.3,2,3,8,0.08,20,2,1,0.05,0.07,0.0525,5,9.6475,13.295,8.8,98.193
20,1.5,22,2.2,3,4.5,6,0.06,7,0.7,12,0.6,0.11,0.0825,5,9.8125,13.625,8.8,99.975
7,0.525,20,2,1,1.5,6,0.06,11,1.1,1,0.05,0.15,0.1125,5,5.5975,5.195,8.8,54.453
11,0.825,22,2.2,3,4.5,9,0.09,14,1.4,1,0.05,0.09,0.0675,5,9.4575,12.915,8.8,96.141
7,0.525,20,2,0,0,6,0.06,5,0.5,1,0.05,0.2,0.15,5,3.415,0.83,8.8,30.882
14,1.05,23,2.3,1,1.5,10,0.1,19,1.9,1,0.05,0.2,0.15,5,7.48,8.96,8.8,74.784
16,1.2,23,2.3,1,1.5,6,0.06,6,0.6,1,0.05,0.19,0.1425,5,6.0025,6.005,8.8,58.827
17,1.275,22,2.2,3,4.5,7,0.07,21,2.1,12,0.6,0.24,0.18,5,11.38,16.76,8.8,116.904
11,0.825,23,2.3,1,1.5,10,0.1,13,1.3,12,0.6,0.15,0.1125,5,7.0475,8.095,8.8,70.113
8,0.6,17,1.7,3,4.5,7,0.07,3,0.3,1,0.05,0.13,0.0975,5,7.4125,8.825,8.8,74.055
5,0.375,21,2.1,0,0,6,0.06,3,0.3,1,0.05,0.02,0.015,5,2.99,0,8.8,26.312
12,0.9,22,2.2,3,4.5,8,0.08,22,2.2,1,0.05,0.11,0.0825,5,10.4925,14.985,8.8,107.319
13,0.975,23,2.3,3,4.5,8,0.08,4,0.4,1,0.05,0.19,0.1425,5,8.5675,11.135,8.8,86.529
7,0.525,18,1.8,1,1.5,8,0.08,9,0.9,1,0.05,0.2,0.15,5,5.225,4.45,8.8,50.43
6,0.45,22,2.2,1,1.5,10,0.1,15,1.5,7,0.35,0.03,0.0225,5,6.4725,6.945,8.8,63.903
5,0.375,17,1.7,2,3,9,0.09,4,0.4,1,0.05,0.19,0.1425,5,5.8825,5.765,8.8,57.531
11,0.825,23,2.3,0,0,9,0.09,21,2.1,1,0.05,0.1,0.075,5,5.905,5.81,8.8,57.774
13,0.975,22,2.2,0,0,10,0.1,9,0.9,1,0.05,0.11,0.0825,5,4.5375,3.075,8.8,43.005
17,1.275,22,2.2,3,4.5,8,0.08,11,1.1,1,0.05,0.03,0.0225,5,9.4875,12.975,8.8,96.465
7,0.525,22,2.2,3,4.5,7,0.07,21,2.1,1,0.05,0.16,0.12,6,10.02,14.04,8.8,102.216
13,0.975,22,2.2,0,0,9,0.09,18,1.8,1,0.05,0.02,0.015,6,5.535,5.07,8.8,53.778
16,1.2,22,2.2,3,4.5,9,0.09,14,1.4,1,0.05,0.25,0.1875,6,9.9525,13.905,8.8,101.487
6,0.45,23,2.3,2,3,9,0.09,16,1.6,1,0.05,0.16,0.12,6,7.975,9.95,8.8,80.13
10,0.75,21,2.1,1,1.5,6,0.06,22,2.2,1,0.05,0.17,0.1275,6,7.2575,8.515,8.8,72.381
12,0.9,23,2.3,2,3,6,0.06,9,0.9,1,0.05,0.24,0.18,6,7.6,9.2,8.8,76.08
21,1.575,23,2.3,2,3,9,0.09,6,0.6,1,0.05,0.19,0.1425,6,7.9225,9.845,8.8,79.563
10,0.75,19,1.9,0,0,9,0.09,3,0.3,1,0.05,0.17,0.1275,6,3.3225,0.645,8.8,29.883
18,1.35,22,2.2,2,3,9,0.09,15,1.5,1,0.05,0.22,0.165,6,8.7,11.4,8.8,87.96
22,1.65,23,2.3,2,3,7,0.07,21,2.1,1,0.05,0.13,0.0975,6,9.7225,13.445,8.8,99.003
9,0.675,23,2.3,3,4.5,6,0.06,14,1.4,1,0.05,0.19,0.1425,6,9.4375,12.875,8.8,95.925
7,0.525,20,2,2,3,10,0.1,12,1.2,7,0.35,0.21,0.1575,6,7.6225,9.245,8.8,76.323
