Date,Temperature,Fan,Fan(Units),Refrigerator,Fridge(Units),AirConditioner,AC(Units),Bulb,Bulb(Units),Television,TV(Units),Monitor,Monitor(Units),MotorPump,Motor(Units),Month,Units,Extra,TariffRate,ElectricityBill
2018-01-01,20.7,3.5,0.262,11.8,1.77,1.23,1.478,6.39,0.096,1.31,0.131,3.47,0.277,0.18,0.138,1,4.153,0.0,7.17,29.78
2018-01-02,19.6,5.46,0.41,10.4,1.561,1.21,1.45,4.08,0.061,2.94,0.294,5.5,0.44,0.22,0.164,1,4.379,0.0,7.17,31.4
2018-01-03,25.3,2.73,0.205,8.73,1.31,0.8,0.965,4.1,0.061,1.86,0.186,3.87,0.31,0.31,0.233,1,3.27,0.0,7.17,23.45
2018-01-04,21.1,2.56,0.192,9.17,1.375,0.87,1.04,5.82,0.087,2.57,0.257,3.6,0.288,0.29,0.216,1,3.455,0.0,7.17,24.77
2018-01-05,19.8,4.37,0.328,8.19,1.228,1.11,1.329,4.68,0.07,1.13,0.113,5.85,0.468,0.39,0.294,1,3.83,0.0,7.17,27.46
2018-01-06,19.8,5.23,0.393,9.22,1.383,0.6,0.717,6.74,0.101,3.32,0.332,1.12,0.09,0.28,0.213,1,3.228,0.0,7.17,23.14
2018-01-07,23.3,2.14,0.16,11.64,1.746,0.76,0.911,6.65,0.1,2.94,0.294,1.52,0.122,0.3,0.222,1,3.553,0.0,7.17,25.48
2018-01-08,23.9,2.74,0.205,11.88,1.782,1.28,1.53,7.76,0.116,2.79,0.279,4.79,0.383,0.38,0.287,1,4.583,0.0,7.17,32.86
2018-01-09,21.3,2.35,0.177,8.78,1.318,0.55,0.654,5.3,0.08,1.78,0.178,3.81,0.305,0.36,0.27,1,2.981,0.0,7.17,21.37
2018-01-10,24.9,3.43,0.257,9.12,1.369,1.04,1.251,2.56,0.038,2.6,0.26,3.22,0.258,0.4,0.298,1,3.731,0.0,7.17,26.75
2018-01-11,21.4,5.09,0.382,8.79,1.319,0.51,0.607,7.26,0.109,2.41,0.241,5.19,0.415,0.35,0.261,1,3.333,0.0,7.17,23.9
2018-01-12,21.2,2.3,0.172,9.43,1.415,0.62,0.739,7.45,0.112,2.25,0.225,3.99,0.319,0.18,0.138,1,3.121,0.0,7.17,22.38
2018-01-13,25.2,3.24,0.243,9.3,1.395,1.23,1.476,4.55,0.068,4.66,0.466,1.47,0.118,0.2,0.148,1,3.914,0.0,7.17,28.06
2018-01-14,23.7,4.85,0.364,11.04,1.656,1.06,1.274,7.08,0.106,3.48,0.348,1.52,0.122,0.27,0.201,1,4.071,0.0,7.17,29.19
2018-01-15,19.0,2.1,0.158,8.43,1.265,0.53,0.638,6.55,0.098,1.63,0.163,4.53,0.362,0.38,0.284,1,2.967,0.0,7.17,21.27
2018-01-16,23.5,3.0,0.225,9.64,1.446,1.26,1.507,4.92,0.074,1.15,0.115,3.87,0.31,0.21,0.155,1,3.832,0.0,7.17,27.48
2018-01-17,23.4,5.72,0.429,11.23,1.685,1.13,1.36,7.49,0.112,2.61,0.261,3.56,0.285,0.38,0.281,1,4.413,0.0,7.17,31.64
2018-01-18,26.8,4.16,0.312,11.23,1.684,1.4,1.675,3.27,0.049,1.22,0.122,3.68,0.295,0.27,0.201,1,4.339,0.0,7.17,31.11
2018-01-19,21.9,5.27,0.395,11.44,1.716,0.51,0.608,6.04,0.091,1.83,0.183,3.67,0.293,0.2,0.148,1,3.436,0.0,7.17,24.64
2018-01-20,20.7,3.35,0.251,11.77,1.766,0.82,0.988,6.08,0.091,4.11,0.411,1.36,0.109,0.39,0.295,1,3.911,0.0,7.17,28.04
2018-01-21,25.2,5.85,0.439,9.01,1.351,1.0,1.197,3.2,0.048,2.85,0.285,1.04,0.083,0.31,0.233,1,3.636,0.0,7.17,26.07
2018-01-22,24.2,4.01,0.301,8.21,1.231,0.78,0.934,5.63,0.084,1.48,0.148,3.43,0.275,0.28,0.212,1,3.185,0.0,7.17,22.84
2018-01-23,19.5,5.94,0.446,8.97,1.345,1.17,1.407,7.05,0.106,1.48,0.148,5.18,0.415,0.25,0.191,1,4.056,0.0,7.17,29.08
2018-01-24,23.6,4.53,0.34,10.53,1.58,1.04,1.243,4.36,0.065,2.67,0.267,3.96,0.317,0.21,0.16,1,3.972,0.0,7.17,28.48
2018-01-25,22.1,2.16,0.162,10.36,1.555,1.18,1.413,4.07,0.061,2.02,0.202,3.68,0.294,0.32,0.239,1,3.926,0.0,7.17,28.15
2018-01-26,20.0,2.7,0.202,10.76,1.615,0.89,1.064,7.75,0.116,1.28,0.128,4.02,0.322,0.2,0.147,1,3.594,0.0,7.17,25.77
2018-01-27,22.8,5.7,0.427,11.51,1.726,0.76,0.91,6.64,0.1,4.45,0.445,1.56,0.124,0.29,0.219,1,3.951,0.0,7.17,28.33
2018-01-28,22.1,2.97,0.223,8.37,1.256,1.4,1.677,7.6,0.114,3.9,0.39,1.34,0.107,0.25,0.188,1,3.954,0.0,7.17,28.35
2018-01-29,20.2,4.9,0.368,11.59,1.738,1.39,1.665,7.12,0.107,2.28,0.228,3.25,0.26,0.21,0.155,1,4.521,0.0,7.17,32.42
2018-01-30,23.7,5.59,0.42,10.43,1.564,0.51,0.611,4.41,0.066,2.33,0.233,3.02,0.241,0.21,0.155,1,3.29,0.0,7.17,23.59
2018-01-31,21.7,4.19,0.315,10.77,1.615,1.15,1.382,4.9,0.073,2.42,0.242,3.71,0.297,0.24,0.184,1,4.109,0.0,7.17,29.46
2018-02-01,23.8,4.99,0.374,10.6,1.59,1.35,1.619,6.63,0.099,2.14,0.214,3.28,0.262,0.25,0.191,2,4.349,0.0,6.03,26.22
2018-02-02,15.6,3.06,0.23,8.98,1.346,1.47,1.768,5.57,0.084,2.78,0.278,4.89,0.391,0.35,0.265,2,4.362,0.0,6.03,26.3
2018-02-03,21.4,4.01,0.301,10.31,1.546,0.99,1.191,4.78,0.072,4.17,0.417,1.28,0.102,0.18,0.132,2,3.761,0.0,6.03,22.68
2018-02-04,22.3,4.58,0.344,8.71,1.306,1.44,1.729,7.82,0.117,4.74,0.474,1.37,0.11,0.17,0.13,2,4.21,0.0,6.03,25.39
2018-02-05,19.6,5.71,0.428,9.71,1.457,1.47,1.76,7.85,0.118,2.71,0.271,3.88,0.311,0.26,0.194,2,4.538,0.0,6.03,27.36
2018-02-06,21.6,5.4,0.405,9.27,1.39,0.67,0.803,6.23,0.093,2.87,0.287,5.09,0.407,0.3,0.226,2,3.612,0.0,6.03,21.78
2018-02-07,17.8,2.39,0.179,10.46,1.569,1.49,1.788,4.56,0.068,2.04,0.204,5.63,0.451,0.34,0.255,2,4.514,0.0,6.03,27.22
2018-02-08,21.9,4.79,0.359,10.81,1.621,0.86,1.031,5.17,0.078,2.62,0.262,5.43,0.434,0.37,0.277,2,4.063,0.0,6.03,24.5
2018-02-09,20.5,5.65,0.424,10.05,1.507,1.0,1.202,7.19,0.108,2.3,0.23,5.11,0.408,0.35,0.265,2,4.144,0.0,6.03,24.99
2018-02-10,21.8,5.56,0.417,9.35,1.403,0.88,1.051,4.38,0.066,3.73,0.373,1.04,0.083,0.28,0.208,2,3.6,0.0,6.03,21.71
2018-02-11,24.4,4.17,0.313,9.15,1.372,1.09,1.309,2.12,0.032,2.11,0.211,1.82,0.146,0.25,0.19,2,3.572,0.0,6.03,21.54
2018-02-12,17.3,2.51,0.188,10.09,1.513,1.27,1.524,4.86,0.073,2.25,0.225,3.26,0.26,0.18,0.136,2,3.92,0.0,6.03,23.64
2018-02-13,21.3,4.13,0.309,10.16,1.524,1.14,1.365,6.9,0.104,2.95,0.295,4.55,0.364,0.24,0.183,2,4.145,0.0,6.03,24.99
2018-02-14,20.7,5.18,0.389,9.08,1.362,0.94,1.127,4.31,0.065,1.05,0.105,5.89,0.471,0.36,0.272,2,3.79,0.0,6.03,22.85
2018-02-15,23.6,4.78,0.359,9.64,1.445,0.67,0.808,4.63,0.069,1.5,0.15,4.65,0.372,0.33,0.251,2,3.454,0.0,6.03,20.83
2018-02-16,21.5,4.64,0.348,9.12,1.368,1.45,1.746,6.95,0.104,2.11,0.211,4.84,0.387,0.27,0.2,2,4.364,0.0,6.03,26.31
2018-02-17,24.4,2.99,0.224,9.42,1.414,1.26,1.509,2.06,0.031,2.35,0.235,1.05,0.084,0.18,0.135,2,3.631,0.0,6.03,21.89
2018-02-18,20.0,5.42,0.407,10.81,1.622,0.97,1.169,4.39,0.066,3.47,0.347,1.47,0.118,0.21,0.157,2,3.886,0.0,6.03,23.43
2018-02-19,20.7,3.74,0.28,9.59,1.439,1.12,1.339,6.54,0.098,1.09,0.109,4.12,0.33,0.31,0.235,2,3.831,0.0,6.03,23.1
2018-02-20,23.5,4.01,0.301,11.43,1.714,1.16,1.39,4.65,0.07,1.14,0.114,4.93,0.394,0.18,0.132,2,4.115,0.0,6.03,24.81
2018-02-21,21.3,4.34,0.326,11.76,1.764,1.08,1.291,5.55,0.083,2.29,0.229,4.37,0.35,0.3,0.222,2,4.264,0.0,6.03,25.71
2018-02-22,22.5,5.77,0.432,9.54,1.432,1.46,1.753,7.62,0.114,1.39,0.139,3.21,0.257,0.19,0.145,2,4.273,0.0,6.03,25.77
2018-02-23,16.7,2.07,0.155,8.38,1.257,1.18,1.42,4.28,0.064,1.64,0.164,5.53,0.443,0.18,0.132,2,3.634,0.0,6.03,21.91
2018-02-24,24.4,5.26,0.394,9.13,1.369,0.62,0.742,4.79,0.072,3.89,0.389,1.88,0.15,0.34,0.254,2,3.37,0.0,6.03,20.32
2018-02-25,24.3,5.21,0.391,9.13,1.369,0.68,0.813,5.0,0.075,4.42,0.442,1.99,0.159,0.26,0.199,2,3.448,0.0,6.03,20.79
2018-02-26,19.3,3.49,0.262,11.11,1.666,0.84,1.009,7.72,0.116,2.72,0.272,4.29,0.343,0.34,0.257,2,3.924,0.0,6.03,23.66
2018-02-27,20.7,5.02,0.376,8.41,1.262,1.4,1.683,6.02,0.09,2.65,0.265,3.96,0.317,0.38,0.282,2,4.276,0.0,6.03,25.78
2018-02-28,23.5,3.56,0.267,8.04,1.207,1.41,1.686,4.37,0.065,1.64,0.164,5.85,0.468,0.39,0.291,2,4.149,0.0,6.03,25.02
2018-03-01,29.9,7.44,0.558,10.53,1.579,0.95,1.138,3.17,0.048,1.66,0.166,5.02,0.401,0.43,0.319,3,4.209,0.0,7.45,31.36
2018-03-02,35.7,8.75,0.656,11.16,1.674,1.55,1.855,3.98,0.06,1.12,0.112,4.65,0.372,0.33,0.249,3,4.977,0.0,7.45,37.08
2018-03-03,32.5,9.33,0.699,9.4,1.411,1.56,1.87,2.57,0.039,4.28,0.428,1.62,0.129,0.23,0.173,3,4.749,0.0,7.45,35.38
2018-03-04,31.3,4.5,0.338,10.8,1.621,1.54,1.844,5.29,0.079,4.12,0.412,1.08,0.087,0.23,0.169,3,4.549,0.0,7.45,33.89
2018-03-05,32.3,9.92,0.744,9.5,1.425,1.69,2.022,5.25,0.079,2.89,0.289,5.96,0.477,0.43,0.32,3,5.355,0.0,7.45,39.89
2018-03-06,29.5,6.26,0.469,8.33,1.25,1.28,1.533,4.23,0.064,1.85,0.185,5.72,0.458,0.23,0.175,3,4.133,0.0,7.45,30.79
2018-03-07,32.7,6.96,0.522,8.05,1.207,1.73,2.081,2.23,0.033,1.24,0.124,3.35,0.268,0.39,0.296,3,4.531,0.0,7.45,33.76
2018-03-08,30.5,8.48,0.636,10.33,1.55,1.98,2.377,3.5,0.052,1.57,0.157,5.61,0.448,0.27,0.2,3,5.421,0.0,7.45,40.39
2018-03-09,30.6,9.78,0.733,8.05,1.207,1.98,2.382,2.17,0.033,2.78,0.278,4.58,0.367,0.5,0.373,3,5.374,0.0,7.45,40.04
2018-03-10,32.2,4.44,0.333,10.22,1.532,1.98,2.382,4.09,0.061,3.89,0.389,1.7,0.136,0.34,0.252,3,5.085,0.0,7.45,37.88
2018-03-11,34.2,7.77,0.582,10.34,1.551,1.95,2.341,2.18,0.033,2.84,0.284,1.95,0.156,0.47,0.35,3,5.297,0.0,7.45,39.46
2018-03-12,33.7,6.73,0.505,10.48,1.572,1.64,1.966,2.75,0.041,1.93,0.193,4.06,0.325,0.38,0.281,3,4.884,0.0,7.45,36.39
2018-03-13,28.0,2.31,0.173,11.9,1.785,1.49,1.783,4.79,0.072,2.07,0.207,3.93,0.314,0.36,0.268,3,4.603,0.0,7.45,34.29
2018-03-14,31.8,8.11,0.608,8.65,1.298,1.96,2.347,5.29,0.079,2.9,0.29,5.18,0.414,0.38,0.288,3,5.324,0.0,7.45,39.66
2018-03-15,29.0,6.51,0.488,11.73,1.76,1.37,1.639,2.18,0.033,1.05,0.105,4.13,0.33,0.44,0.332,3,4.688,0.0,7.45,34.93
2018-03-16,31.8,9.92,0.744,8.6,1.29,1.8,2.156,3.52,0.053,2.94,0.294,5.53,0.442,0.45,0.339,3,5.319,0.0,7.45,39.63
